"","id","Longitude","Latitude","JLSA","A1","A3","A9","A10","B3","B4","C1","C2","C7","D2","D5","D6","F3","F5","G2","I14","I22","I23","I24","I25","H6","H8"
"73",55541,-106.270364,23.178461,"Mazatl‡n-San Ignacio","0","0","0","0","0","Si","0","Si","ninguno","0","Si","Siembra de organismos silvestres","5","100","2","0","0","0","0","0","0","Si"
"74",55541,0,0,"Mazatl‡n-San Ignacio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",55542,-106.292506,23.109753,"Mazatl‡n-San Ignacio","0","0","0","0","0","0","0","Si","ninguno","0","Si","Siembra de organismos silvestres","4","18","15","0","0","0","0","Si","0","Si"
"76",55561,-107.59709,24.57218,"Navolato Sur","Si","Si","Entierro sin tratar","Entierro sin tratar","Si","Si","0","0","filtracion","0","Si","Otros","2","8","5","0","0","0","Si","Si","Si","Si"
"77",55561,-107.80462,24.59991,"Navolato Sur","Si","Si","Entierro con cal y tierra","Incineraci—n","Si","Si","Si","Si","filtracion","Si","0","ImportaciÌ_n de reproductores; Otros","54","12","15","Si","Si",NA,"Si","Si","Si","Si"
"78",55562,-108.198879,25.175577,"Angostura","Si","0","Entierro con cal y tierra","Entierro sin tratar","Si","Si","Si","Si","ninguno","Si","0","ImportaciÌ_n de reproductores","33","10","20","Si","Si","Si","0","Si","Si","Si"
"79",55562,-108.227042,25.182142,"Angostura","Si","0","Entierro sin tratar","Entierro sin tratar","Si","Si","Si","Si","ninguno","Si","0","ImportaciÌ_n de larvas","23","10","25","Si","Si","0","0","Si","Si","Si"
"80",55563,0,0,"Mazatl‡n-San Ignacio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",55563,0,0,"Mazatl‡n-San Ignacio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",55669,-107.8913,24.635,"Navolato Sur","Si","Si","Entierro con cal y tierra","Incineraci—n","Si","Si","Si","Si","filtracion","0","Si","ImportaciÌ_n de reproductores; ImportaciÌ_n de larvas","9","7.5","25","Si","Si","Si","Si","Si","0","Si"
"83",55669,-107.84896,24.60788,"Navolato Sur","Si","Si","Incineraci—n","Incineraci—n","Si","Si","Si","Si","filtracion","0","Si","ImportaciÌ_n de reproductores; ImportaciÌ_n de larvas; Otros","9","8","20","Si","0","Si","Si","Si","0","Si"
"84",55669,-107.60291,24.56983,"Navolato Sur","Si","Si","Entierro sin tratar","Incineraci—n","Si","0","Si","0","filtracion","0","Si","ImportaciÌ_n de reproductores; Otros","3","9","6","0","0","0","Si","Si","0","Si"
"85",55684,-105.708028,22.548975,"Escuinapa","0","0","Incineraci—n","Incineraci—n","Si","Si","0","Si","ninguno","0","Si","ImportaciÌ_n de reproductores","25","10","15","Si","0","0","Si","0","0","Si"
"86",55684,0,0,"Escuinapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",55748,-108.237266,25.200247,"Angostura","0","0",NA,"Entierro sin tratar","Si","Si","0","Si","ninguno","0","0","ImportaciÌ_n de reproductores","2","9.5","9","0","0","0","0","Si","0","Si"
"88",55748,-108.244926,25.199552,"Angostura","Si","0","Entierro sin tratar","Entierro sin tratar","Si","Si","Si","Si","ninguno","0","0","ImportaciÌ_n de larvas","9","8.33","15","Si","Si","0","0","Si","0","Si"
"89",55748,-108.244519,25.200619,"Angostura","Si","0","Entierro sin tratar","Entierro sin tratar","Si","Si","0","Si","ninguno","0","0","ImportaciÌ_n de larvas; ImportaciÌ_n de reproductores","7","10","18","Si","0","0","0","Si","0","Si"
"90",55779,0,0,"Guasave Norte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",55779,-109.389489,23.02585,"Ahome","0","0","Incineraci—n","Incineraci—n","Si","0","Si","Si","ninguno","Si","Si","ImportaciÌ_n de reproductores","4","7","4","Si","0",NA,"0","0","0","Si"
"92",55804,-108.230407,25.214378,"Angostura","Si","Si","Entierro con cal y tierra","Entierro con cal y tierra","Si","Si","Si","Si","ninguno","0","0","ImportaciÌ_n de larvas; ImportaciÌ_n de reproductores","18","5.6","19","Si","Si","0","0","Si","Si","Si"
"93",55804,0,0,"Angostura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",55815,-107.62139,24.48046,"Navolato Sur","Si","Si","Entierro sin tratar","Incineraci—n","Si","0","Si","Si","filtracion; prod_quim","0","Si","ImportaciÌ_n de reproductores","8","8","25","0","Si","0","Si","Si","Si","Si"
"95",55819,0,0,"Mazatl‡n-San Ignacio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",55820,-106.292953,23.160489,"Mazatl‡n-San Ignacio","0","0","Entierro sin tratar","Incineraci—n","0","Si","0","Si","prod_quim","Si","Si","ImportaciÌ_n de larvas; Siembra de organismos silvestres","9","9","18","0","0","0","Si","Si","0","Si"
"97",55821,0,0,"Eldorado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",55826,0,0,"Eldorado","0","0","Incineraci—n","Incineraci—n","Si","0","0","Si","ninguno","0","0","ImportaciÌ_n de reproductores; ImportaciÌ_n de larvas","8","10","20","0","0",NA,"Si","0","Si","Si"
"99",55826,0,0,"Eldorado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",55841,-108.270884,25.246149,"Angostura","Si","0","Entierro sin tratar","Entierro sin tratar","Si","Si","Si","Si","ninguno","0","0","ImportaciÌ_n de larvas","17","9","18","Si","Si","0","Si","Si","Si","Si"
"101",55841,-108.288555,25.237142,"Angostura","Si","0","Entierro sin tratar","Entierro sin tratar","Si","0","Si","Si","ninguno","0","0","ImportaciÌ_n de larvas","4","10","8","Si","0","0","0","0","Si","Si"
"102",55896,-108.294951,25.243549,"Angostura","Si","0","Entierro sin tratar","Entierro sin tratar","Si","Si","Si","Si","ninguno","0","0","ImportaciÌ_n de reproductores; ImportaciÌ_n de larvas","10","10","18","Si","Si","0","0","Si","Si","Si"
"103",55927,-108.305258,25.254933,"Angostura","Si","Si","Entierro con cal y tierra","Entierro sin tratar","Si","Si","Si","Si","ninguno","0","0","ImportaciÌ_n de reproductores; ImportaciÌ_n de larvas; Siembra de organismos silvestres","20","9","12","Si","Si","0","0","Si","Si","Si"
"104",55927,-109.266667,25.883333,"Guasave Norte","Si","0","Entierro sin tratar","Incineraci—n","Si","0","Si","0","filtracion; prod_quim","0","Si","ImportaciÌ_n de reproductores; ImportaciÌ_n de larvas","2","10","6","0","0","0","Si","Si","0","Si"
"105",55960,-107.4785,24.34639,"Eldorado","Si","Si","Incineraci—n","Entierro con cal y tierra","Si","Si","0","0",NA,"0","Si",NA,"1","10","6","Si","0","0","0","0","0","Si"
"106",56007,0,0,"Eldorado","0","0","Entierro con cal y tierra","Incineraci—n","Si","Si","0","Si","ninguno","0","0","ImportaciÌ_n de reproductores; ImportaciÌ_n de larvas","8","12","20","Si","0",NA,"0","0","Si","Si"
